loan_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,verification_status,loan_status,delinq_2yrs,pub_rec
2500, 36 months,7.51,77.78,A,OWN,12000,Source Verified,Charged Off,0,0
13500, 36 months,9.91,435.04,B,MORTGAGE,36000,Source Verified,Fully Paid,0,0
25000, 36 months,12.4,835.39,B,RENT,225000,Verified,Fully Paid,1,0
10000, 36 months,13.4,339.31,C,RENT,45900,Verified,Fully Paid,0,0
2500, 36 months,13.4,84.83,C,RENT,27200,Not Verified,Fully Paid,0,0
7325, 36 months,12.6,245.72,B,RENT,42000,Not Verified,Fully Paid,0,0
4000, 36 months,12.4,133.67,B,RENT,135000,Verified,Fully Paid,0,0
10000, 36 months,13.4,339.31,C,RENT,65000,Not Verified,Charged Off,1,0
7750, 36 months,17.2,277.36,D,RENT,24000,Not Verified,Charged Off,0,0
20000, 60 months,20.8,539.84,F,RENT,70000,Source Verified,Charged Off,0,0
9600, 36 months,12.4,320.79,B,RENT,65000,Verified,Fully Paid,0,0
21000, 60 months,11.7,464.07,B,RENT,60000,Not Verified,Charged Off,0,0
14000, 36 months,10.6,456.03,B,RENT,30000,Source Verified,Fully Paid,0,0
13350, 36 months,12.4,446.1,B,RENT,43000,Not Verified,Fully Paid,0,0
15000, 36 months,16.7,533.08,D,RENT,42000,Verified,Charged Off,0,0
15000, 36 months,17.2,536.81,D,RENT,75000,Source Verified,Charged Off,0,0
11000, 60 months,13.4,253.06,C,MORTGAGE,129000,Verified,Fully Paid,0,0
35000, 36 months,10.6,1140.07,B,MORTGAGE,168000,Verified,Fully Paid,1,0
9000, 36 months,10.6,293.16,B,MORTGAGE,74000,Source Verified,Fully Paid,0,0
22475, 60 months,15.2,537.87,C,MORTGAGE,52000,Verified,Fully Paid,0,0
16000, 36 months,12.6,536.72,B,RENT,58500,Source Verified,Charged Off,0,0
13500, 36 months,12.6,452.86,B,RENT,71000,Source Verified,Fully Paid,0,0
24000, 36 months,12.6,805.08,B,RENT,75000,Verified,Fully Paid,0,0
12000, 36 months,10.6,390.88,B,RENT,60000,Not Verified,Fully Paid,0,0
8400, 60 months,16.7,207.73,D,RENT,87996,Not Verified,Fully Paid,0,0
28000, 60 months,17.5,704.64,D,MORTGAGE,140000,Verified,Fully Paid,0,0
14000, 36 months,6.62,429.86,A,RENT,66000,Source Verified,Fully Paid,0,0
12000, 36 months,14.2,411.71,C,MORTGAGE,70000,Not Verified,Charged Off,0,0
25000, 36 months,11.7,826.9,B,MORTGAGE,1.00E+05,Verified,Fully Paid,0,0
9000, 36 months,12.6,301.91,B,RENT,50000,Source Verified,Fully Paid,0,0
13250, 36 months,10.6,431.6,B,RENT,35000,Not Verified,Fully Paid,0,0
20000, 36 months,13.4,678.61,C,RENT,75000,Verified,Fully Paid,0,0
3000, 36 months,14.6,103.49,C,RENT,71000,Verified,Fully Paid,0,0
7350, 36 months,10.6,239.42,B,MORTGAGE,48000,Not Verified,Fully Paid,0,0
11500, 36 months,15.2,400.18,C,RENT,36000,Not Verified,Fully Paid,0,0
13650, 36 months,12.4,456.12,B,MORTGAGE,86000,Not Verified,Charged Off,0,0
10500, 36 months,16.2,370.66,D,RENT,30000,Source Verified,Charged Off,0,0
12000, 36 months,9.91,386.7,B,RENT,60000,Not Verified,Fully Paid,0,0
6000, 36 months,8.9,190.52,A,RENT,34000,Not Verified,Fully Paid,0,0
11500, 36 months,15.2,400.18,C,MORTGAGE,44200,Verified,Fully Paid,0,0
7000, 36 months,12.4,233.91,B,MORTGAGE,82000,Not Verified,Fully Paid,0,0
29500, 60 months,20.3,786.51,E,MORTGAGE,83000,Source Verified,Fully Paid,0,0
2000, 36 months,15.2,69.6,C,RENT,41000,Verified,Fully Paid,0,0
11625, 36 months,13.4,394.45,C,MORTGAGE,36000,Source Verified,Fully Paid,0,0
15075, 36 months,14.2,517.21,C,RENT,35000,Verified,Charged Off,0,0
5300, 36 months,15.2,184.43,C,RENT,30000,Verified,Fully Paid,0,0
8200, 36 months,6.62,251.77,A,RENT,40000,Source Verified,Fully Paid,0,0
12000, 36 months,12.4,400.99,B,MORTGAGE,105000,Not Verified,Fully Paid,0,0
8650, 36 months,14.2,296.78,C,MORTGAGE,45000,Source Verified,Fully Paid,0,0
21000, 60 months,17.2,294.98,D,MORTGAGE,109000,Verified,Fully Paid,0,0
16000, 60 months,17.2,399.97,D,RENT,50000,Source Verified,Fully Paid,0,0
12000, 36 months,12.4,400.99,B,RENT,83000,Not Verified,Fully Paid,0,0
9500, 36 months,12.6,318.68,B,MORTGAGE,52500,Source Verified,Charged Off,0,0
7400, 36 months,13.4,251.09,C,OWN,25000,Source Verified,Fully Paid,0,0
14400, 36 months,13.4,488.6,C,MORTGAGE,60000,Not Verified,Fully Paid,0,0
24250, 60 months,23.9,519.76,G,MORTGAGE,120000,Verified,Fully Paid,0,0
7200, 36 months,7.9,225.29,A,RENT,68000,Source Verified,Charged Off,0,0
26000, 60 months,16.7,642.96,D,MORTGAGE,53000,Verified,Charged Off,0,0
7000, 60 months,11.7,154.69,B,MORTGAGE,69600,Verified,Charged Off,0,0
4000, 36 months,7.51,124.45,A,RENT,65000,Source Verified,Fully Paid,0,0
1500, 36 months,17.2,53.69,D,MORTGAGE,144000,Verified,Fully Paid,1,0
19600, 36 months,12.4,654.94,B,RENT,75000,Verified,Fully Paid,0,0
2500, 36 months,11.7,82.69,B,MORTGAGE,29000,Verified,Fully Paid,0,0
10000, 36 months,12.6,335.45,B,RENT,70000,Not Verified,Charged Off,0,0
10000, 36 months,6.62,307.04,A,RENT,45000,Not Verified,Fully Paid,0,0
4225, 36 months,12.4,141.18,B,MORTGAGE,55200,Not Verified,Fully Paid,0,0
3500, 36 months,7.9,109.52,A,MORTGAGE,61440,Not Verified,Fully Paid,1,0
12000, 36 months,6.62,368.45,A,MORTGAGE,56000,Not Verified,Fully Paid,0,0
16500, 36 months,8.9,523.93,A,RENT,47000,Source Verified,Fully Paid,0,0
22000, 60 months,21.6,603.5,F,RENT,55000,Verified,Fully Paid,0,0
12000, 36 months,14.6,413.94,C,RENT,71000,Verified,Fully Paid,0,0
15600, 60 months,12.6,352.48,B,RENT,50000,Source Verified,Charged Off,0,0
10800, 36 months,12.4,360.89,B,RENT,135000,Verified,Fully Paid,0,0
14000, 36 months,12.4,467.82,B,MORTGAGE,63000,Not Verified,Fully Paid,0,0
18825, 60 months,17.5,473.75,D,MORTGAGE,44000,Verified,Fully Paid,0,0
6000, 36 months,13.4,203.59,C,MORTGAGE,50000,Not Verified,Fully Paid,0,0
12000, 36 months,9.91,386.7,B,RENT,80000,Not Verified,Fully Paid,0,0
10000, 36 months,12.4,334.16,B,RENT,45000,Not Verified,Fully Paid,0,0
8000, 36 months,7.9,250.33,A,RENT,78000,Not Verified,Fully Paid,0,0
14125, 36 months,9.91,455.18,B,RENT,33000,Verified,Fully Paid,0,0
14000, 36 months,12.6,469.63,B,RENT,62800,Not Verified,Fully Paid,0,0
13200, 60 months,17.2,224.36,D,RENT,26400,Source Verified,Fully Paid,0,0
4000, 36 months,19,146.69,E,MORTGAGE,80000,Not Verified,Fully Paid,1,0
4000, 36 months,12.6,134.18,B,RENT,25000,Not Verified,Charged Off,0,0
10500, 36 months,6.03,319.58,A,MORTGAGE,65000,Source Verified,Fully Paid,0,0
5500, 36 months,7.9,172.1,A,OWN,59000,Source Verified,Fully Paid,0,1
7350, 36 months,11.7,243.11,B,RENT,33000,Verified,Fully Paid,0,0
10000, 36 months,12.4,334.16,B,RENT,39000,Source Verified,Charged Off,0,0
12000, 36 months,7.51,373.33,A,RENT,42000,Not Verified,Fully Paid,0,0
5000, 60 months,11.7,110.5,B,MORTGAGE,38004,Not Verified,Fully Paid,0,0
8000, 60 months,11.7,176.79,B,OWN,31000,Source Verified,Fully Paid,0,0
4500, 36 months,8.9,142.89,A,MORTGAGE,50700,Verified,Fully Paid,0,0
18000, 36 months,12.4,601.48,B,OWN,75000,Verified,Fully Paid,0,0
12300, 60 months,13.4,282.96,C,MORTGAGE,30000,Source Verified,Fully Paid,0,0
12000, 36 months,13.4,407.17,C,RENT,40000,Not Verified,Fully Paid,0,0
10000, 36 months,13.4,339.31,C,MORTGAGE,50000,Not Verified,Fully Paid,1,0
6000, 36 months,7.9,187.75,A,MORTGAGE,80000,Not Verified,Fully Paid,0,0
12000, 36 months,12.6,402.54,B,RENT,40000,Not Verified,Fully Paid,0,0
12000, 36 months,8.9,381.04,A,RENT,80000,Not Verified,Charged Off,0,0
7000, 36 months,11.7,231.54,B,RENT,75000,Source Verified,Fully Paid,0,0
35000, 60 months,18.6,690.56,E,MORTGAGE,85000,Verified,Fully Paid,0,0
1400, 36 months,7.9,43.81,A,RENT,28800,Not Verified,Fully Paid,0,0
16000, 60 months,13.4,368.08,C,RENT,35000,Verified,Charged Off,0,0
3200, 36 months,9.91,103.12,B,RENT,61200,Not Verified,Fully Paid,0,1
8000, 36 months,7.9,250.33,A,RENT,40000,Not Verified,Fully Paid,0,0
11875, 60 months,12.6,268.32,B,RENT,25920,Source Verified,Charged Off,0,0
5000, 36 months,6.03,152.18,A,MORTGAGE,54000,Not Verified,Fully Paid,0,0
1800, 36 months,6.62,55.27,A,RENT,18000,Not Verified,Fully Paid,0,0
35000, 36 months,8.9,1111.37,A,RENT,85000,Verified,Fully Paid,0,0
18000, 36 months,8.9,571.56,A,RENT,78000,Verified,Fully Paid,0,0
14000, 36 months,7.9,438.07,A,OWN,45600,Not Verified,Charged Off,0,0
5000, 36 months,12.4,167.08,B,RENT,70000,Not Verified,Fully Paid,0,0
8000, 36 months,15.9,281.1,C,RENT,70000,Source Verified,Fully Paid,0,0
10000, 36 months,6.03,304.36,A,MORTGAGE,80000,Not Verified,Fully Paid,0,0
10000, 36 months,7.51,311.11,A,RENT,50000,Verified,Fully Paid,0,0
12000, 36 months,12.4,400.99,B,MORTGAGE,35000,Verified,Fully Paid,0,0
23200, 36 months,7.9,725.94,A,MORTGAGE,65000,Verified,Fully Paid,0,0
18000, 60 months,15.2,430.78,C,MORTGAGE,84000,Verified,Fully Paid,0,0
4800, 36 months,15.2,167.03,C,MORTGAGE,75000,Not Verified,Fully Paid,0,0
7300, 36 months,11.7,241.46,B,RENT,35000,Not Verified,Fully Paid,0,0
10400, 36 months,9.91,335.14,B,RENT,40000,Source Verified,Fully Paid,0,0
6600, 36 months,9.91,212.69,B,MORTGAGE,1.00E+05,Not Verified,Fully Paid,0,0
12000, 36 months,8.9,381.04,A,OWN,40000,Not Verified,Fully Paid,0,0
13250, 36 months,17.2,474.19,D,RENT,52000,Verified,Fully Paid,0,0
12000, 36 months,11.7,396.92,B,RENT,92500,Source Verified,Fully Paid,0,0
25000, 36 months,9.91,805.63,B,RENT,61000,Source Verified,Fully Paid,0,0
6000, 36 months,10.6,195.44,B,RENT,36000,Not Verified,Fully Paid,0,0
12000, 36 months,7.51,373.33,A,MORTGAGE,68000,Not Verified,Fully Paid,0,0
14400, 36 months,11.7,476.3,B,RENT,80000,Not Verified,Fully Paid,0,0
10000, 36 months,12.4,334.16,B,RENT,43000,Not Verified,Fully Paid,0,0
8000, 36 months,11.7,264.61,B,RENT,150000,Not Verified,Fully Paid,1,0
8000, 36 months,16.2,282.41,D,RENT,50000,Not Verified,Charged Off,0,0
30000, 60 months,12.4,673.72,B,RENT,70000,Source Verified,Charged Off,0,0
18000, 60 months,16.7,445.13,D,OWN,40000,Not Verified,Charged Off,0,0
13250, 36 months,11.7,438.26,B,OWN,35000,Not Verified,Fully Paid,0,0
14000, 36 months,14.2,480.33,C,RENT,80000,Not Verified,Fully Paid,0,0
20000, 60 months,20.3,533.23,E,OWN,59000,Verified,Charged Off,0,0
10000, 36 months,16.2,353.01,D,RENT,40000,Verified,Fully Paid,0,0
35000, 60 months,20.3,619.88,E,RENT,85000,Verified,Fully Paid,0,0
4000, 36 months,6.03,121.75,A,RENT,55000,Not Verified,Fully Paid,0,0
13000, 36 months,9.91,418.93,B,RENT,110000,Not Verified,Fully Paid,0,0
28000, 36 months,12.6,939.26,B,RENT,1.00E+05,Source Verified,Fully Paid,0,0
10000, 36 months,13.4,339.31,C,RENT,62000,Not Verified,Fully Paid,0,0
20000, 36 months,7.9,625.81,A,RENT,45000,Verified,Fully Paid,0,0
18000, 36 months,9.91,580.05,B,RENT,110000,Verified,Fully Paid,0,0
9000, 60 months,19.9,238,E,RENT,60000,Verified,Charged Off,0,0
25000, 60 months,18.6,643.58,E,RENT,61500,Verified,Charged Off,1,0
10000, 36 months,11.7,330.76,B,RENT,33000,Not Verified,Fully Paid,0,0
4200, 36 months,6.03,127.83,A,RENT,61000,Not Verified,Fully Paid,0,0
20000, 60 months,15.2,478.64,C,OWN,78216,Verified,Charged Off,0,0
18000, 60 months,17.2,449.97,D,MORTGAGE,62000,Verified,Charged Off,0,0
24000, 36 months,16.2,847.21,D,RENT,50964,Verified,Fully Paid,1,0
4475, 36 months,15.2,155.72,C,RENT,43680,Not Verified,Fully Paid,0,0
20000, 60 months,14.6,472.14,C,MORTGAGE,56000,Verified,Fully Paid,0,0
12000, 36 months,12.4,400.99,B,RENT,50700,Source Verified,Fully Paid,0,0
18000, 60 months,17.5,452.98,D,MORTGAGE,60000,Verified,Fully Paid,0,0
5000, 36 months,12.4,167.08,B,RENT,30000,Source Verified,Charged Off,0,0
3000, 36 months,6.03,91.31,A,RENT,50000,Not Verified,Fully Paid,0,0
25000, 60 months,19,648.93,E,RENT,75000,Verified,Fully Paid,0,0
